Date,RSI_14,MACD_Histogram,MACD,Close,rolling_logvol_30,OBV,Volume,Low,MACD_Signal,High,log_returns
2010-02-17,37.48055987558322,0.00875307853344856,-0.14908522140817393,5.8155,0.019301140045579153,-2346001440.0,178272080,5.7775,-0.1578382999416225,5.8565,0.015103320501214787
2010-02-18,33.58116480793065,0.013326141648613482,-0.14118062288085564,5.904,0.01954722887513307,-2150075120.0,195926320,5.741,-0.15450676452946913,5.9255,-0.004753828986540443
2010-02-19,33.66459627329196,0.015115584741194621,-0.13561228360297584,5.876,0.01937088413730324,-2292381320.0,142306200,5.85,-0.15072786834417046,5.9545,0.004160834772035535
2010-02-22,47.6243093922652,0.018382479042708733,-0.12774976954078454,5.9005,0.019259797173828096,-2156241600.0,136139720,5.809,-0.14613224858349327,5.9485,-0.006546250794965669
2010-02-23,47.57174392935985,0.018341744932777904,-0.12320506741752091,5.862,0.018415563962746764,-2297566000.0,141324400,5.8255,-0.1415468123502988,5.9625,0.02093256714180634
2010-02-24,51.58002038735982,0.026558554586832483,-0.1083486191167582,5.986,0.018574113988147022,-2149768220.0,147797780,5.8575,-0.13490717370359068,5.99,-0.01277757801250035
2010-02-25,56.28476084538378,0.026696228875566747,-0.10153688760913226,5.91,0.018283611293576765,-2340255000.0,190486780,5.7925,-0.128233116484699,5.917,0.001690617477907452
2010-02-26,53.01852958756722,0.02719031350508841,-0.0942452246033385,5.92,0.018046147439357018,-2225976020.0,114278980,5.85,-0.12143553810842692,5.9715,0.0505582269944007
2010-03-01,67.27924697445096,0.046773762428017424,-0.06296833507340516,6.227,0.020380307494641287,-1960258540.0,265717480,5.8765,-0.10974209750142258,6.233,0.007917824385811043
2010-03-02,66.96832579185522,0.06075580301597573,-0.03379734373145293,6.2765,0.02044040975119491,-1718325280.0,241933260,6.24,-0.09455314674742867,6.3675,0.002863735948050759
2010-03-03,69.57319871500691,0.06834529653007514,-0.009121526084834741,6.2945,0.02043523087082273,-1589629460.0,128695820,6.2215,-0.07746682261490988,6.347,0.020753830343872633
2010-03-04,69.44700460829495,0.07864965251103237,0.020845243023880577,6.4265,0.020613845622422692,-1439824880.0,149804580,6.2785,-0.05780440948715179,6.4425,0.002952146332972907
2010-03-05,71.36258660508089,0.08272480584427064,0.04560159781818651,6.4455,0.020588147570139794,-1304444460.0,135380420,6.3535,-0.03712320802608413,6.4725,0.00926576006037117
2010-03-08,80.3571428571429,0.08510996701652437,0.06926425074457132,6.5055,0.01900845452055406,-1192340020.0,112104440,6.3855,-0.015845716271953046,6.5425,-0.009964165396639864
2010-03-09,80.08658008658014,0.07817155777681577,0.08186873094906666,6.441,0.019023521730241983,-1313732600.0,121392580,6.3985,0.0036971731722508956,6.5405,0.013033771060691571
2010-03-10,80.00965717044912,0.07508370122416441,0.09755179970245642,6.5255,0.019039603530508417,-1201251580.0,112481020,6.424,0.022468098478292002,6.5585,0.02325069711805368
2010-03-11,84.58225667527996,0.07880345490154719,0.120972417105226,6.679,0.01888791679599359,-1056579080.0,144672500,6.518,0.0421689622036788,6.681,-0.013263193672916139
2010-03-12,78.19518170681914,0.07100351632543316,0.13092335761047025,6.591,0.018567133761801847,-1179534440.0,122955360,6.559,0.05991984128503709,6.71,-0.005248158081241055
2010-03-15,78.45145432199918,0.05964455712530488,0.1344755376916682,6.5565,0.018571002843027234,-1306113640.0,126579200,6.4315,0.07483098056636332,6.6,0.005020549112465054
2010-03-16,76.71536077910581,0.0508220784559415,0.1383585786362902,6.5895,0.01539119837118876,-1223455380.0,82658260,6.525,0.0875365001803487,6.6145,-0.0034203658929713643
2010-03-17,80.52973977695166,0.04039419141484121,0.13802923944890022,6.567,0.015336598067240931,-1310629760.0,87174380,6.561,0.09763504803405901,6.6345,0.010753606088947213
2010-03-18,81.57431838170623,0.03538159761203717,0.1418620450491055,6.638,0.015369778356445997,-1210164360.0,100465400,6.522,0.10648044743706832,6.6425,-0.018319846472263132
2010-03-19,65.2814308258811,0.021724248710394425,0.13363575832506136,6.5175,0.014854108982501982,-1388262860.0,178098500,6.483,0.11191150961466693,6.6855,0.0009201748981460334
2010-03-22,63.61631753031973,0.011387896102417777,0.12614637974268916,6.5235,0.01477477980442648,-1280822380.0,107440480,6.432,0.11475848364027139,6.548,-0.009317435442907362
2010-03-23,58.87309110057924,-0.0005949016459818324,0.11401485658279409,6.463,0.014885465621266943,-1365092520.0,84270140,6.4035,0.11460975822877592,6.547,-0.009483164733087059
2010-03-24,48.60557768924304,-0.013012054183571195,0.09834469049931194,6.402,0.015007009987299971,-1459155280.0,94062760,6.36,0.11135674468288313,6.47,0.05093006066609412
2010-03-25,62.18592964824122,0.00021901890965665693,0.11163051831995396,6.7365,0.01729899907486538,-1134965040.0,324190240,6.402,0.11141149941029731,6.8455,0.00244634837893942
2010-03-26,60.756192959582805,0.008537791942304696,0.12208373933817818,6.753,0.016948824570736196,-1003642020.0,131323020,6.688,0.11354594739587348,6.8495,0.000444148352848849
2010-03-29,64.46280991735537,0.012460548819162337,0.1291216334198264,6.756,0.016903206746165213,-911118920.0,92523100,6.7165,0.11666108460066407,6.8315,0.010747251033398535
2010-03-30,64.08352668213455,0.01786116689299165,0.13898754321690365,6.829,0.016419840963011627,-787289540.0,123829380,6.768,0.121126376323912,6.9095,-0.00594824592075327
2010-03-31,55.6765163297045,0.01662095635502811,0.14190257176769716,6.7885,0.01629430426804405,-879237920.0,91948380,6.724,0.12528161541266905,6.84,-0.029600785887815558
2010-04-01,49.97673336435549,0.001194252410284563,0.12677443092552476,6.5905,0.01736242990274517,-1054683200.0,175445280,6.559,0.1255801785152402,6.8255,-0.002430688625546839
2010-04-05,50.85227272727273,-0.010703484579578093,0.1122008227907676,6.5745,0.017328726818597755,-1170987380.0,116304180,6.539,0.12290430737034569,6.687,0.030483543640023057
