Date,Volume,ATR_14,Bollinger_Upper,High,EMA_20,Close,Open,SMA_20,OBV,Low,rolling_logvol_30
2010-02-17,0.0,0.0,1.13333,1.13333,1.13333,1.13333,1.13333,1.13333,0.0,1.13333,0.0
2010-02-18,0.0,0.0,1.13333,1.13333,1.13333,1.13333,1.13333,1.13333,0.0,1.13333,0.0
2010-02-19,0.0,0.0,1.13333,1.13333,1.13333,1.13333,1.13333,1.13333,0.0,1.13333,0.0
2010-02-22,0.0,0.0,1.13333,1.13333,1.13333,1.13333,1.13333,1.13333,0.0,1.13333,0.0
2010-02-23,0.0,0.0,1.13333,1.13333,1.13333,1.13333,1.13333,1.13333,0.0,1.13333,0.0
2010-02-24,0.0,0.0,1.13333,1.13333,1.13333,1.13333,1.13333,1.13333,0.0,1.13333,0.0
2010-02-25,0.0,0.0,1.13333,1.13333,1.13333,1.13333,1.13333,1.13333,0.0,1.13333,0.0
2010-02-26,0.0,0.0,1.13333,1.13333,1.13333,1.13333,1.13333,1.13333,0.0,1.13333,0.0
2010-03-01,0.0,0.0,1.13333,1.13333,1.13333,1.13333,1.13333,1.13333,0.0,1.13333,0.0
2010-03-02,0.0,0.0,1.13333,1.13333,1.13333,1.13333,1.13333,1.13333,0.0,1.13333,0.0
2010-03-03,0.0,0.0,1.13333,1.13333,1.13333,1.13333,1.13333,1.13333,0.0,1.13333,0.0
2010-03-04,0.0,0.0,1.13333,1.13333,1.13333,1.13333,1.13333,1.13333,0.0,1.13333,0.0
2010-03-05,0.0,0.0,1.13333,1.13333,1.13333,1.13333,1.13333,1.13333,0.0,1.13333,0.0
2010-03-08,0.0,0.0,1.13333,1.13333,1.13333,1.13333,1.13333,1.13333,0.0,1.13333,0.0
2010-03-09,0.0,0.0,1.13333,1.13333,1.13333,1.13333,1.13333,1.13333,0.0,1.13333,0.0
2010-03-10,0.0,0.0,1.13333,1.13333,1.13333,1.13333,1.13333,1.13333,0.0,1.13333,0.0
2010-03-11,0.0,0.0,1.13333,1.13333,1.13333,1.13333,1.13333,1.13333,0.0,1.13333,0.0
2010-03-12,0.0,0.0,1.13333,1.13333,1.13333,1.13333,1.13333,1.13333,0.0,1.13333,0.0
2010-03-15,0.0,0.0,1.13333,1.13333,1.13333,1.13333,1.13333,1.13333,0.0,1.13333,0.0
